fonte,place_id,nome,instagram,telefone,whatsapp_link,site,cidade,pais,bairro,nicho,tem_link_na_bio,tem_site,tem_whatsapp_visivel,business_status,rating,user_ratings_total,place_types,open_now,activity_score,score,observacao,link_origem,status,data_coleta,last_contact_at,last_contact_note
google_maps,,Sobrancelha & Cia SJC,,12 99666-3322,https://wa.me/5512996663322,https://sobrancelhaeciasjc.com.br,São José dos Campos - SP,Brasil,,Maps,não,sim,sim,,,,,,,2,Lead simulado para fase inicial de automação.,https://maps.google.com/?cid=100000000000000004,ignorar,2026-02-08T16:46:18,2026-02-10T14:48:40+00:00,
Maps,,Sobrancelhas Campinas - Ana Caroline,,+55 19 99502-2417,https://wa.me/5519995022417,https://www.instagram.com/anacaroline.studioac/,Campinas - SP,Brasil,,designer de sobrancelhas,não,sim,sim,,,,,,,2,Encontrado por: designer de sobrancelhas,https://maps.google.com/?cid=15802424612199199149,enviado,2026-02-09T16:34:26+00:00,2026-02-10T15:59:38+00:00,
Maps,,Sobrancelhas Design Campinas.Cambuí,,+55 19 3294-5593,https://wa.me/551932945593,https://www.sdcampinas.com.br/,Campinas - SP,Brasil,,designer de sobrancelhas,não,sim,sim,,,,,,,2,Encontrado por: designer de sobrancelhas,https://maps.google.com/?cid=12655502427235346028,ignorar,2026-02-09T16:34:26+00:00,2026-02-10T16:05:30+00:00,
Maps,,Alongamento de Cílios|Designer de sobrancelhas e Unhas,,+55 19 99594-3620,https://wa.me/5519995943620,https://instagram.com/bru.designer__?igshid=YTQwZjQ0NmI0OA==,Campinas - SP,Brasil,,designer de sobrancelhas,não,sim,sim,,,,,,,2,Encontrado por: designer de sobrancelhas,https://maps.google.com/?cid=9620910604571584131,enviado,2026-02-09T16:34:26+00:00,2026-02-09T21:12:37+00:00,
Maps,,DESIGNER DE SOBRANCELHAS - Keila Carvalho,,+55 19 98803-9054,https://wa.me/5519988039054,https://www.instagram.com/keilacarvalhobeauty/,Campinas - SP,Brasil,,designer de sobrancelhas,não,sim,sim,,,,,,,2,Encontrado por: designer de sobrancelhas,https://maps.google.com/?cid=1899813811287540982,enviado,2026-02-09T16:34:26+00:00,2026-02-10T12:28:07+00:00,
Maps,,Sobrancelhas Campinas - Geisiane Ferreira,,+55 19 99244-8753,https://wa.me/5519992448753,,Campinas - SP,Brasil,,designer de sobrancelhas,não,não,sim,,,,,,,6,Encontrado por: designer de sobrancelhas,https://maps.google.com/?cid=66514287165223920,enviado,2026-02-09T16:34:26+00:00,2026-02-09T21:03:11+00:00,
Maps,,Andressa Sobrancelhas,,+55 19 98106-0455,https://wa.me/5519981060455,,Campinas - SP,Brasil,,designer de sobrancelhas,não,não,sim,,,,,,,6,Encontrado por: designer de sobrancelhas,https://maps.google.com/?cid=8706179805086428068,ignorar,2026-02-09T16:34:26+00:00,2026-02-09T18:07:14+00:00,
Maps,,Nati Ribeiro - Design e Micropigmentação de Sobrancelhas Campinas,,+55 19 99291-5957,https://wa.me/5519992915957,https://natiribeiro.com/lp-micro/?utm_source=google&utm_medium=organic&utm_campaign=gmn,Campinas - SP,Brasil,,designer de sobrancelhas,não,sim,sim,,,,,,,2,Encontrado por: designer de sobrancelhas,https://maps.google.com/?cid=2446627442406037278,enviado,2026-02-09T16:34:26+00:00,2026-02-10T14:46:40+00:00,
Maps,,Curso de Design de Sobrancelhas Campinas,,+55 19 98101-5576,https://wa.me/5519981015576,https://www.studioericamaia.net/,Campinas - SP,Brasil,,designer de sobrancelhas,não,sim,sim,,,,,,,2,Encontrado por: designer de sobrancelhas,https://maps.google.com/?cid=2654114064086440965,ignorar,2026-02-09T16:34:26+00:00,2026-02-10T12:05:47+00:00,
Maps,,Sobrancelhas Design Campinas Parque Prado,,+55 19 98369-0019,https://wa.me/5519983690019,,Campinas - SP,Brasil,,designer de sobrancelhas,não,não,sim,,,,,,,6,Encontrado por: designer de sobrancelhas,https://maps.google.com/?cid=2611613605868446965,enviado,2026-02-09T16:34:26+00:00,2026-02-09T21:08:21+00:00,
